Tool,n,Time,RAM,AUC
R,0.01,50,10,68.2
R,0.1,1200,35,71.2
R,1,NA,,
Py,0.01,2,2,68.4
Py,0.1,50,5,71.4
Py,1,900,20,73.2
Py,10,NA,,
H2O,0.01,5,2,68.7
H2O,0.1,30,10,70.2
H2O,1,100,25,71.8
H2O,10,600,30,73.2
Spark,0.01,150,10,65.5
Spark,0.1,1000,30,67.9
Spark,1,NA,,
